time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,-0.027795754925215882,-0.08652899077222079,california,sanfrancisco,White
46,2020-07-29,-2.8310687127941488e-15,-0.07448101950107525,california,sanfrancisco,White
61,2020-08-13,-0.06254390039785056,-0.07046502907736008,california,sanfrancisco,White
62,2020-08-14,-0.03625287278039676,-0.07019729638244573,california,sanfrancisco,White
70,2020-08-22,-0.048149409864212664,-0.06805543482313096,california,sanfrancisco,White
73,2020-08-25,-0.054468245028641775,-0.06725223673838793,california,sanfrancisco,White
74,2020-08-26,-0.06346616359509683,-0.06698450404347359,california,sanfrancisco,White
97,2020-09-18,-0.08386653041533884,-0.06082665206044363,california,sanfrancisco,White
108,2020-09-29,-0.08178585546928309,-0.05788159241638583,california,sanfrancisco,White
109,2020-09-30,-0.08538720206855532,-0.05761385972147149,california,sanfrancisco,White
115,2020-10-06,-0.0919530816479987,-0.056007463551985416,california,sanfrancisco,White
117,2020-10-08,-0.08476128431290535,-0.05547199816215673,california,sanfrancisco,White
118,2020-10-09,-0.03771852583425405,-0.05520426546724238,california,sanfrancisco,White
123,2020-10-14,-0.037614206208312406,-0.05386560199267065,california,sanfrancisco,White
124,2020-10-15,-0.03800397541239925,-0.05359786929775631,california,sanfrancisco,White
131,2020-10-22,-0.08399264176818272,-0.05172374043335589,california,sanfrancisco,White
136,2020-10-27,-0.09204078783771166,-0.050385076958784164,california,sanfrancisco,White
138,2020-10-29,-0.04610298017143048,-0.049849611568955475,california,sanfrancisco,White
145,2020-11-05,-9.575673587391977e-16,-0.04797548270455506,california,sanfrancisco,White
162,2020-11-22,-0.04517915931126392,-0.043424026891011186,california,sanfrancisco,White
164,2020-11-24,-0.0455689285153508,-0.0428885615011825,california,sanfrancisco,White
1,2020-06-14,0.0008678756475221164,0.016970686142643524,california,sanfrancisco,Hispanic
14,2020-06-27,-1.8457457784393227e-15,0.020451211176530013,california,sanfrancisco,Hispanic
37,2020-07-20,-1.1518563880486e-15,0.026609063159559958,california,sanfrancisco,Hispanic
40,2020-07-23,-9.15933995315754e-16,0.027412261244302995,california,sanfrancisco,Hispanic
41,2020-07-24,0.0027833101486638427,0.027679993939217336,california,sanfrancisco,Hispanic
49,2020-08-01,-4.579669976578772e-16,0.0298218554985321,california,sanfrancisco,Hispanic
55,2020-08-07,0.0038747030765702156,0.03142825166801817,california,sanfrancisco,Hispanic
62,2020-08-14,0.03618591380951424,0.03330238053241859,california,sanfrancisco,Hispanic
70,2020-08-22,0.04849752068091232,0.03544424209173335,california,sanfrancisco,Hispanic
73,2020-08-25,0.0542827574940901,0.03624744017647639,california,sanfrancisco,Hispanic
74,2020-08-26,0.06303252728743901,0.03651517287139073,california,sanfrancisco,Hispanic
80,2020-09-01,1.5820678100908479e-15,0.0381215690408768,california,sanfrancisco,Hispanic
91,2020-09-12,1.8318679906315087e-15,0.04106662868493461,california,sanfrancisco,Hispanic
96,2020-09-17,0.04065343379956099,0.04240529215950633,california,sanfrancisco,Hispanic
97,2020-09-18,0.0696621126135093,0.04267302485442068,california,sanfrancisco,Hispanic
104,2020-09-25,0.041550656935808485,0.0445471537188211,california,sanfrancisco,Hispanic
108,2020-09-29,0.08384685953717202,0.04561808449847848,california,sanfrancisco,Hispanic
109,2020-09-30,0.0848866448311539,0.04588581719339282,california,sanfrancisco,Hispanic
115,2020-10-06,0.08296189714496471,0.04749221336287889,california,sanfrancisco,Hispanic
117,2020-10-08,0.08350759360891807,0.04802767875270758,california,sanfrancisco,Hispanic
125,2020-10-16,0.044526183670589775,0.050169540312022344,california,sanfrancisco,Hispanic
131,2020-10-22,0.08509307536685343,0.05177593648150842,california,sanfrancisco,Hispanic
136,2020-10-27,0.09661194135928412,0.053114599956080144,california,sanfrancisco,Hispanic
143,2020-11-03,4.773959005888173e-15,0.05498872882048056,california,sanfrancisco,Hispanic
155,2020-11-15,0.05274125075459543,0.05820152115945271,california,sanfrancisco,Hispanic
1,2020-06-14,0.004184737907234129,-0.0295437049375395,california,sanfrancisco,Asian
2,2020-06-15,-1.8457457784393227e-15,-0.029275972242625157,california,sanfrancisco,Asian
4,2020-06-17,-0.016074091455171538,-0.028740506852796468,california,sanfrancisco,Asian
16,2020-06-29,-1.6653345369377348e-15,-0.02552771451382432,california,sanfrancisco,Asian
39,2020-07-22,-1.5820678100908479e-15,-0.01936986253079438,california,sanfrancisco,Asian
41,2020-07-24,-0.02292237236410616,-0.01883439714096569,california,sanfrancisco,Asian
47,2020-07-30,-1.3739009929736312e-15,-0.017228000971479616,california,sanfrancisco,Asian
55,2020-08-07,-0.030454821311451774,-0.015086139412164853,california,sanfrancisco,Asian
70,2020-08-22,-0.0019187856667149253,-0.011070148988449671,california,sanfrancisco,Asian
83,2020-09-04,-9.992007221626409e-16,-0.007589623954563184,california,sanfrancisco,Asian
88,2020-09-09,-9.020562075079397e-16,-0.006250960479991456,california,sanfrancisco,Asian
89,2020-09-10,-8.049116928532385e-16,-0.005983227785077112,california,sanfrancisco,Asian
96,2020-09-17,-0.03994631911144839,-0.004109098920676693,california,sanfrancisco,Asian
97,2020-09-18,-0.015249561235126037,-0.003841366225762348,california,sanfrancisco,Asian
98,2020-09-19,-1.249000902703301e-16,-0.003573633530848003,california,sanfrancisco,Asian
104,2020-09-25,-0.04137089955699949,-0.001967237361361931,california,sanfrancisco,Asian
108,2020-09-29,-0.0033866178932619733,-0.0008963065817045499,california,sanfrancisco,Asian
112,2020-10-03,1.6653345369377348e-16,0.0001746241979528316,california,sanfrancisco,Asian
114,2020-10-05,-0.02351833200633452,0.0007100895877815224,california,sanfrancisco,Asian
115,2020-10-06,-0.006593383867267878,0.0009778222826958669,california,sanfrancisco,Asian
116,2020-10-07,5.551115123125784e-16,0.0012455549776102131,california,sanfrancisco,Asian
118,2020-10-09,0.037012361093338934,0.0017810203674389039,california,sanfrancisco,Asian
123,2020-10-14,0.03744589167490875,0.00311968384201063,california,sanfrancisco,Asian
124,2020-10-15,0.03738533342645005,0.0033874165369249744,california,sanfrancisco,Asian
125,2020-10-16,-0.04419988177671474,0.0036551492318393206,california,sanfrancisco,Asian
131,2020-10-22,-0.001642872724623684,0.0052615454013253925,california,sanfrancisco,Asian
136,2020-10-27,-0.006210788691797725,0.006600208875897122,california,sanfrancisco,Asian
141,2020-11-01,1.4988010832439613e-15,0.007938872350468848,california,sanfrancisco,Asian
150,2020-11-10,1.609823385706477e-15,0.010348466604697956,california,sanfrancisco,Asian
151,2020-11-11,1.6930901125533637e-15,0.0106161992996123,california,sanfrancisco,Asian
155,2020-11-15,-0.05240328287828505,0.011687130079269682,california,sanfrancisco,Asian
162,2020-11-22,0.045118702803889334,0.013561258943670097,california,sanfrancisco,Asian
164,2020-11-24,0.04505814455543067,0.014096724333498789,california,sanfrancisco,Asian
1,2020-06-14,0.022190561602815132,0.002463215306688283,california,sanfrancisco,Black
4,2020-06-17,0.015886245604484456,0.0032664133914313167,california,sanfrancisco,Black
41,2020-07-24,0.019841458912898846,0.013172523103262097,california,sanfrancisco,Black
55,2020-08-07,0.02626352332962921,0.016920780832062932,california,sanfrancisco,Black
61,2020-08-13,0.06282500637809846,0.018527177001549003,california,sanfrancisco,Black
70,2020-08-22,0.06875407233844116,0.020936771255778114,california,sanfrancisco,Black
90,2020-09-11,1.6930901125533637e-15,0.026291425154065018,california,sanfrancisco,Black
97,2020-09-18,0.030215143596216437,0.028165554018465436,california,sanfrancisco,Black
114,2020-10-05,0.02329680960217648,0.03271700983200931,california,sanfrancisco,Black
115,2020-10-06,0.013663167790260972,0.032984742526923655,california,sanfrancisco,Black
138,2020-10-29,0.04590812263117547,0.039142594509953596,california,sanfrancisco,Black
54,2020-08-06,-3.1086244689504387e-15,-0.02089908699460682,california,sanfrancisco,Multi-Race
70,2020-08-22,-0.06809018774797568,-0.016615363875977295,california,sanfrancisco,Multi-Race
