time,date,y,y_pred,state,county,ethnicity
1,2020-06-14,0.9885239954579441,-10.542740915594626,california,sacramento,White
2,2020-06-15,1.0002921382610148,-10.403037944333727,california,sacramento,White
3,2020-06-16,1.0017631561113989,-10.263334973072828,california,sacramento,White
4,2020-06-17,1.0120602810640855,-10.123632001811929,california,sacramento,White
5,2020-06-18,1.0238284238671564,-9.983929030551026,california,sacramento,White
6,2020-06-19,1.0297124952686918,-9.844226059290131,california,sacramento,White
7,2020-06-20,1.0532487808748332,-9.704523088029232,california,sacramento,White
8,2020-06-21,1.0767850664809748,-9.56482011676833,california,sacramento,White
9,2020-06-22,1.0914952449848132,-9.425117145507434,california,sacramento,White
10,2020-06-23,1.122386619842874,-9.285414174246531,california,sacramento,White
11,2020-06-24,1.1444518875986318,-9.145711202985636,california,sacramento,White
12,2020-06-25,1.162104101803238,-9.006008231724737,california,sacramento,White
13,2020-06-26,1.2018215837636017,-8.866305260463834,california,sacramento,White
15,2020-06-28,1.2312419407712791,-8.586899317942036,california,sacramento,White
16,2020-06-29,1.2827275655347132,-8.447196346681139,california,sacramento,White
17,2020-06-30,1.3150899582431577,-8.307493375420238,california,sacramento,White
19,2020-07-02,1.3724596544081278,-8.028087432898442,california,sacramento,White
20,2020-07-03,1.4974961716907549,-7.888384461637541,california,sacramento,White
22,2020-07-05,1.54162670720227,-7.608978519115743,california,sacramento,White
23,2020-07-06,1.635771849626836,-7.469275547854844,california,sacramento,White
25,2020-07-08,1.6607791530833609,-7.189869605333046,california,sacramento,White
26,2020-07-09,1.7196198670987153,-7.050166634072147,california,sacramento,White
27,2020-07-10,1.7946417774682917,-6.910463662811248,california,sacramento,White
28,2020-07-11,1.8358302772790391,-6.770760691550349,california,sacramento,White
30,2020-07-13,1.8902579377432407,-6.491354749028551,california,sacramento,White
31,2020-07-14,1.944685598207444,-6.3516517777676516,california,sacramento,White
32,2020-07-15,2.0094103836243327,-6.2119488065067525,california,sacramento,White
33,2020-07-16,2.063838044088535,-6.0722458352458535,california,sacramento,White
34,2020-07-17,2.1653382757650204,-5.9325428639849545,california,sacramento,White
36,2020-07-19,2.216823900528455,-5.653136921463156,california,sacramento,White
37,2020-07-20,2.3006719180003343,-5.513433950202258,california,sacramento,White
38,2020-07-21,2.408056221078355,-5.373730978941358,california,sacramento,White
39,2020-07-22,2.481607113597548,-5.234028007680459,california,sacramento,White
40,2020-07-23,2.5492739347152042,-5.09432503641956,california,sacramento,White
41,2020-07-24,2.6287088986359315,-4.954622065158661,california,sacramento,White
42,2020-07-25,2.6434190771397703,-4.814919093897763,california,sacramento,White
43,2020-07-26,2.7463903266666394,-4.675216122636863,california,sacramento,White
45,2020-07-28,2.8846660046027206,-4.395810180115065,california,sacramento,White
46,2020-07-29,2.9067312723584786,-4.256107208854166,california,sacramento,White
47,2020-07-30,2.9361516293661563,-4.116404237593267,california,sacramento,White
49,2020-08-01,3.0302967717907214,-3.836998295071469,california,sacramento,White
50,2020-08-02,3.0405938967434083,-3.69729532381057,california,sacramento,White
54,2020-08-06,3.333326448969794,-3.1384834387669738,california,sacramento,White
60,2020-08-12,3.598109662038886,-2.3002656112015787,california,sacramento,White
61,2020-08-13,3.845240660903372,-2.1605626399406797,california,sacramento,White
62,2020-08-14,3.96292208893408,-2.0208596686797815,california,sacramento,White
69,2020-08-21,4.411582533301154,-1.0429388698534878,california,sacramento,White
72,2020-08-24,4.766097835243659,-0.6238299560707903,california,sacramento,White
73,2020-08-25,4.811699388605559,-0.48412698480989125,california,sacramento,White
74,2020-08-26,4.8470038170147705,-0.3444240135489922,california,sacramento,White
75,2020-08-27,4.888192316825519,-0.20472104228809318,california,sacramento,White
76,2020-08-28,4.970569316447014,-0.06501807102719415,california,sacramento,White
79,2020-08-31,5.245649654468792,0.35409084275550295,california,sacramento,White
80,2020-09-01,5.300077314932995,0.493793814016402,california,sacramento,White
81,2020-09-02,5.330968689791057,0.633496785277301,california,sacramento,White
82,2020-09-03,5.4045195823102485,0.7731997565382001,california,sacramento,White
83,2020-09-04,5.4589472427744505,0.9129027277990993,california,sacramento,White
86,2020-09-07,5.597222920710531,1.3320116415817964,california,sacramento,White
87,2020-09-08,5.6384114205212805,1.4717146128426952,california,sacramento,White
88,2020-09-09,5.661947706127421,1.6114175841035943,california,sacramento,White
89,2020-09-10,5.729614527245077,1.7511205553644933,california,sacramento,White
90,2020-09-11,5.8296437410711786,1.8908235266253923,california,sacramento,White
93,2020-09-14,5.917904812094211,2.30993244040809,california,sacramento,White
94,2020-09-15,5.9370280441492,2.4496354116689885,california,sacramento,White
95,2020-09-16,5.963506365456111,2.589338382929888,california,sacramento,White
96,2020-09-17,6.013520972369161,2.729041354190787,california,sacramento,White
97,2020-09-18,6.078245757786049,2.8687443254516856,california,sacramento,White
100,2020-09-21,6.2091663464702105,3.287853239234383,california,sacramento,White
101,2020-09-22,6.248883828430575,3.4275562104952826,california,sacramento,White
102,2020-09-23,6.282717238989402,3.5672591817561816,california,sacramento,White
103,2020-09-24,6.326847774500918,3.7069621530170807,california,sacramento,White
104,2020-09-25,6.366565256461282,3.8466651242779797,california,sacramento,White
107,2020-09-28,6.447471238232392,4.265774038060676,california,sacramento,White
108,2020-09-29,6.487188720192759,4.405477009321576,california,sacramento,White
109,2020-09-30,6.523964166452353,4.545179980582475,california,sacramento,White
110,2020-10-01,6.557797577011183,4.684882951843374,california,sacramento,White
111,2020-10-02,6.590159969719628,4.824585923104272,california,sacramento,White
114,2020-10-05,6.707841397750335,5.24369483688697,california,sacramento,White
115,2020-10-06,6.734319719057244,5.383397808147869,california,sacramento,White
116,2020-10-07,6.77109516531684,5.523100779408768,california,sacramento,White
117,2020-10-08,6.797573486623747,5.662803750669667,california,sacramento,White
118,2020-10-09,6.850530129237567,5.802506721930566,california,sacramento,White
121,2020-10-12,6.932907128859062,6.221615635713263,california,sacramento,White
122,2020-10-13,6.953501378764438,6.361318606974162,california,sacramento,White
123,2020-10-14,6.988805807173648,6.501021578235061,california,sacramento,White
124,2020-10-15,7.018226164181327,6.64072454949596,california,sacramento,White
125,2020-10-16,7.0638277175432265,6.780427520756859,california,sacramento,White
129,2020-10-20,7.31831380565963,7.3392394058004555,california,sacramento,White
131,2020-10-22,7.427169126588034,7.618645348322253,california,sacramento,White
134,2020-10-25,7.483067804902621,8.03775426210495,california,sacramento,White
136,2020-10-27,7.66253198264945,8.317160204626749,california,sacramento,White
138,2020-10-29,7.787568499932077,8.596566147148547,california,sacramento,White
141,2020-11-01,7.859648374600887,9.015675060931244,california,sacramento,White
143,2020-11-03,8.161207033929575,9.295081003453042,california,sacramento,White
145,2020-11-05,8.406867014943677,9.57448694597484,california,sacramento,White
148,2020-11-08,8.540729639328607,9.993595859757537,california,sacramento,White
150,2020-11-10,9.085006243970627,10.273001802279335,california,sacramento,White
151,2020-11-11,9.454231724416974,10.412704773540234,california,sacramento,White
155,2020-11-15,9.616043687959195,10.971516658583832,california,sacramento,White
156,2020-11-16,10.42069045211916,11.111219629844728,california,sacramento,White
157,2020-11-17,10.679589593786716,11.250922601105627,california,sacramento,White
158,2020-11-18,10.953198913958113,11.39062557236653,california,sacramento,White
162,2020-11-22,11.153257341610317,11.949437457410122,california,sacramento,White
163,2020-11-23,12.207977140335533,12.089140428671024,california,sacramento,White
166,2020-11-26,12.518361906766524,12.508249342453722,california,sacramento,White
169,2020-11-29,12.927304869173234,12.927358256236415,california,sacramento,White
1,2020-06-14,0.9118565396964132,-4.871415610315022,california,sacramento,Hispanic
2,2020-06-15,0.9336974148987224,-4.731712639054123,california,sacramento,Hispanic
3,2020-06-16,0.9855694935042072,-4.592009667793224,california,sacramento,Hispanic
4,2020-06-17,1.0429017909102691,-4.452306696532325,california,sacramento,Hispanic
5,2020-06-18,1.0783932131140217,-4.312603725271424,california,sacramento,Hispanic
6,2020-06-19,1.132995401119795,-4.172900754010527,california,sacramento,Hispanic
7,2020-06-20,1.2340094489304754,-4.033197782749628,california,sacramento,Hispanic
8,2020-06-21,1.2913417463365373,-3.8934948114887273,california,sacramento,Hispanic
9,2020-06-22,1.3650547001443312,-3.75379184022783,california,sacramento,Hispanic
10,2020-06-23,1.4251171069506818,-3.6140888689669293,california,sacramento,Hispanic
11,2020-06-24,1.4715289667555893,-3.474385897706032,california,sacramento,Hispanic
12,2020-06-25,1.5534322487642491,-3.334682926445133,california,sacramento,Hispanic
13,2020-06-26,1.6189548743711768,-3.194979955184232,california,sacramento,Hispanic
15,2020-06-28,1.730889359783012,-2.915574012662434,california,sacramento,Hispanic
16,2020-06-29,1.859204501596579,-2.775871041401537,california,sacramento,Hispanic
17,2020-06-30,2.06123259721794,-2.636168070140636,california,sacramento,Hispanic
19,2020-07-02,2.328783318446229,-2.3567621276188397,california,sacramento,Hispanic
20,2020-07-03,2.5581125080704767,-2.217059156357939,california,sacramento,Hispanic
22,2020-07-05,2.7055384156860645,-1.9376532138361409,california,sacramento,Hispanic
23,2020-07-06,2.9785493557149305,-1.7979502425752436,california,sacramento,Hispanic
25,2020-07-08,3.0577225283233016,-1.5185443000534442,california,sacramento,Hispanic
26,2020-07-09,3.172387123135425,-1.378841328792546,california,sacramento,Hispanic
27,2020-07-10,3.4481281725645805,-1.2391383575316461,california,sacramento,Hispanic
