time,y,y_pred
26,10.084985041951644,12.451274773983323
27,10.384102372387114,12.44111379287375
28,10.8667945696246,12.430952811764177
29,10.663229790814967,12.420791830654602
30,9.830712648387614,12.41063084954503
31,11.61308857805987,12.400469868435456
32,11.382070947158274,12.390308887325883
33,11.549254264320838,12.38014790621631
34,11.850770503001756,12.369986925106735
35,12.031080519148945,12.359825943997162
36,13.674659222525294,12.349664962887589
37,12.894082797157733,12.339503981778016
38,13.98363840129057,12.329343000668443
39,13.395599100462766,12.31918201955887
40,13.088752614594927,12.309021038449295
41,13.145191284614926,12.298860057339722
42,13.319837541861837,12.288699076230149
43,13.640743965489008,12.278538095120576
45,13.803462977874027,12.25821613290143
46,14.423486731936665,12.248055151791855
47,14.72560269767894,12.237894170682281
49,15.394602181677215,12.217572208463135
54,16.628119988492845,12.166767302915268
55,16.77977769842534,12.156606321805695
56,17.213827677440516,12.146445340696122
60,18.26463655986352,12.105801416257828
61,18.59540483182048,12.095640435148255
62,18.89512188931731,12.085479454038682
64,19.36648656875425,12.065157491819534
10,-1.7125580821853466,-4.220390452577291
13,-1.0633823907908515,-4.250873395906012
14,-2.4075106763202947,-4.261034377015584
19,-2.7182886119677483,-4.311839282563454
23,-2.3198210242536765,-4.352483207001747
25,-2.2464243014136356,-4.3728051692208965
28,-2.5867541338678217,-4.40328811254961
36,-2.4399606881877425,-4.484575961426202
37,-3.312224663163072,-4.4947369425357735
38,-2.7354796562550456,-4.504897923645345
39,-3.459984147196723,-4.515058904754923
10,4.0240973472268085,6.184318317016881
14,3.3939657183959513,6.143674392578582
16,3.181868288234996,6.123352430359439
19,2.921135369488268,6.092869487030718
23,3.611297301070756,6.052225562592426
25,4.400583228101126,6.031903600373276
26,3.5235681197887345,6.021742619263705
27,3.691337704739598,6.011581638154134
28,4.154626257757763,6.001420657044555
29,3.8495654938009416,5.991259675934984
30,3.239443965887296,5.981098694825413
32,4.293770455040066,5.960776732606263
33,4.451998244101405,5.9506157514966915
34,4.38335265459843,5.940454770387113
35,5.113534788015336,5.930293789277542
37,5.6654790314536925,5.909971827058399
39,5.744592925984365,5.8896498648392495
40,5.321324574800622,5.879488883729678
41,5.3613447766350415,5.8693279026201
42,5.973319322825025,5.859166921510528
43,5.746445944260702,5.849005940400957
45,7.1972684152049995,5.828683978181807
46,7.365038000155862,5.818522997072236
47,7.917908752732393,5.808362015962665
49,8.125698539517678,5.788040053743515
54,9.675645005909855,5.737235148195651
55,9.547895622793416,5.727074167086073
56,9.774769001357733,5.716913185976502
60,10.318097958044742,5.676269261538209
61,10.30855616215522,5.666108280428638
62,10.752761123394349,5.65594729931906
64,11.433381259087312,5.635625337099917
10,-3.0341855414410035,-5.649299076486425
11,-2.7769059574462642,-5.659460057595998
13,-2.4822412980026467,-5.679782019815146
16,-3.573916762347053,-5.710264963143866
23,-3.4217774344232432,-5.781391830910879
25,-3.3087678994529246,-5.801713793130027
26,-3.8876289133124673,-5.8118747742396
27,-3.8963164005783018,-5.822035755349173
28,-3.6346930729506446,-5.832196736458746
29,-4.141419062297977,-5.842357717568321
31,-3.584276766603017,-5.862679679787467
32,-4.2265853177089365,-5.87284066089704
33,-4.615103719829348,-5.883001642006613
34,-4.6915824879744745,-5.893162623116188
35,-4.843685715641043,-5.903323604225761
36,-3.4086740030100087,-5.913484585335334
37,-4.3925740848979435,-5.9236455664449075
38,-3.5529440520344298,-5.933806547554481
39,-4.389084649888711,-5.943967528664055
40,-5.014018226462965,-5.954128509773627
41,-5.352120322235747,-5.964289490883202
42,-5.572014830781611,-5.974450471992775
43,-5.5468066776077976,-5.984611453102348
45,-6.062220154220962,-6.004933415321494
46,-5.995283181965354,-6.015094396431069
47,-6.324697790472304,-6.025255377540642
49,-6.621071067163293,-6.045577339759788
54,-7.188609467371457,-6.096382245307655
55,-7.450232794999115,-6.106543226417228
56,-7.518024075878411,-6.116704207526803
60,-7.73877289304796,-6.157348131965096
61,-7.967354888859652,-6.167509113074669
62,-8.009938016565135,-6.177670094184242
64,-8.0273129910968,-6.19799205640339
10,-1.0643484291444252,-1.75883240216843
11,-0.7967154965247261,-1.768993383278005
13,-0.4556858410649878,-1.789315345497151
14,-1.516222403389028,-1.7994763266067242
16,-1.2583678350953158,-1.8197982888258721
19,-1.361099650913319,-1.8502812321545914
23,-0.8613493049116023,-1.8909251565928855
25,-0.8082091337290906,-1.9112471188120317
26,-1.2448241403935434,-1.9214080999216048
27,-1.1013624174317158,-1.9315690810311779
28,-0.7636644846902279,-1.9417300621407527
29,-1.2348289722387884,-1.9518910432503258
30,-2.258184153966021,-1.962052024359899
31,-0.5813555197724689,-1.972213005469472
32,-1.1471393201721698,-1.982373986579045
33,-1.4595831171787488,-1.99253496768862
34,-1.5153551880739586,-2.0026959487981912
35,-1.5136893267148332,-2.012856929907766
36,-0.1307137992294587,-2.023017911017339
37,-1.0637474291773756,-2.0331788921269123
38,-0.183154147406416,-2.0433398732364854
39,-0.8671455350330373,-2.0535008543460584
40,-1.3349782998633444,-2.0636618354556333
41,-1.627165545212396,-2.0738228165652064
42,-1.6593493417318248,-2.0839837976747795
43,-1.4162707218414798,-2.0941447787843526
45,-1.9060258996884425,-2.1144667410035005
46,-1.7625641767266131,-2.1246277221130736
47,-1.8335952152019752,-2.1347887032226467
49,-2.1443731508494284,-2.155110665441793
54,-2.2190021273910574,-2.20591557098966
55,-2.1718255786394973,-2.216076552099233
56,-2.1887504075787767,-2.2262375332088062
60,-2.415170413877864,-2.2668814576471004
61,-2.550302830044062,-2.2770424387566734
62,-2.587484210640868,-2.2872034198662483
64,-2.563895936265089,-2.3075253820853945
10,-2.930201909599022,-2.0986070325489146
11,-2.7107345553650037,-2.108768013658488
13,-2.5515637192306344,-2.1290899758776347
14,-3.721035514912941,-2.1392509569872082
16,-3.6526922410152207,-2.159572919206355
19,-4.08358019368519,-2.190055862535075
23,-3.7431813873893667,-2.2306997869733687
25,-3.80032688634229,-2.2510217491925157
26,-4.398094015082194,-2.261182730302089
27,-4.447744751255473,-2.2713437114116624
28,-4.1798193853343655,-2.281504692521236
29,-4.699149451268604,-2.291665673630809
30,-5.753564678870712,-2.3018266547403825
31,-4.1357051172801915,-2.311987635849956
32,-4.888299338521545,-2.322148616959529
33,-5.15230811512158,-2.3323095980691027
34,-5.428920968308524,-2.342470579178676
35,-5.518769383214903,-2.3526315602882493
36,-4.186975732251504,-2.362792541397823
37,-5.2118390630468845,-2.3729535225073963
38,-4.454135527998266,-2.3831145036169694
39,-5.3154842790263634,-2.3932754847265434
40,-5.946719893894068,-2.4034364658361165
41,-6.3289362577210255,-2.41359744694569
42,-6.5992470726145145,-2.4237584280552635
43,-6.577189938587428,-2.4339194091648366
45,-7.136717683254767,-2.4542413713839837
46,-7.110743959906608,-2.4644023524935568
47,-7.452762645000464,-2.4745633336031303
49,-7.849968534386708,-2.494885295822277
54,-8.60026604510502,-2.545690201370144
55,-8.779962874917782,-2.555851182479717
56,-8.857207213237258,-2.566012163589291
60,-9.337959479236428,-2.6066560880275844
61,-9.549166500516458,-2.616817069137158
62,-9.645316953716293,-2.6269780502467315
64,-9.732014349475945,-2.647300012465878
10,-2.7732793151106567,-5.870408577852025
11,-2.517111483319125,-5.880569558961604
13,-2.3509331568435288,-5.900891521180746
14,-3.4850382898640664,-5.9110525022903175
16,-3.4138261776387293,-5.931374464509467
19,-3.8337090783634142,-5.961857407838188
23,-3.473134343501237,-6.002501332276481
25,-3.4912448291439637,-6.02282329449563
26,-4.052422511672623,-6.032984275605202
27,-4.0466247168908165,-6.043145256714773
28,-3.7678824195704963,-6.053306237824351
29,-4.251845822842967,-6.063467218933916
30,-5.287496025974272,-6.073628200043494
31,-3.6691191328820465,-6.083789181153065
32,-4.3669232450795725,-6.093950162262637
33,-4.5834315837961155,-6.104111143372215
34,-4.8366234289969405,-6.114272124481786
35,-4.9294347425039735,-6.124433105591358
36,-3.5896459683324617,-6.134594086700936
37,-4.557726953277012,-6.144755067810507
38,-3.8033324988579063,-6.154916048920079
39,-4.6532058965755345,-6.165077030029657
40,-5.2553768870749265,-6.175238011139228
41,-5.62959812769377,-6.1853989922488
42,-5.879968164703497,-6.195559973358378
43,-5.863037315556908,-6.2057209544679495
45,-6.355311965003064,-6.226042916687099
46,-6.30718704735478,-6.236203897796663
47,-6.6110172615957685,-6.246364878906242
49,-6.982262515623907,-6.266686841125384
54,-7.750149297400067,-6.317491746673255
55,-7.958346389942925,-6.3276527277828265
56,-8.042692278876665,-6.337813708892405
60,-8.48135257269195,-6.378457633330697
61,-8.695193281617003,-6.388618614440269
62,-8.894924949586564,-6.398779595549847
64,-8.844132402146789,-6.41910155776899
10,7.984533083045722,12.613850471736498
11,8.451999536583816,12.603689490626925
13,8.801558266425676,12.583367528407777
14,7.858296476855749,12.573206547298204
16,8.552199972935206,12.552884585079058
19,8.766110043553315,12.522401641750337
23,9.830911567370306,12.481757717312043
25,10.137791701420817,12.461435755092896
26,10.084985041951644,12.451274773983323
27,10.384102372387114,12.44111379287375
28,10.8667945696246,12.430952811764177
29,10.663229790814967,12.420791830654602
30,9.830712648387614,12.41063084954503
31,11.61308857805987,12.400469868435456
32,11.382070947158274,12.390308887325883
33,11.549254264320838,12.38014790621631
34,11.850770503001756,12.369986925106735
35,12.031080519148945,12.359825943997162
36,13.674659222525294,12.349664962887589
37,12.894082797157733,12.339503981778016
38,13.98363840129057,12.329343000668443
39,13.395599100462766,12.31918201955887
40,13.088752614594927,12.309021038449295
41,13.145191284614926,12.298860057339722
42,13.319837541861837,12.288699076230149
43,13.640743965489008,12.278538095120576
45,13.803462977874027,12.25821613290143
46,14.423486731936665,12.248055151791855
47,14.72560269767894,12.237894170682281
49,15.394602181677215,12.217572208463135
54,16.628119988492845,12.166767302915268
55,16.77977769842534,12.156606321805695
56,17.213827677440516,12.146445340696122
60,18.26463655986352,12.105801416257828
61,18.59540483182048,12.095640435148255
62,18.89512188931731,12.085479454038682
64,19.36648656875425,12.065157491819534
